gmId_L45,fT_L45,gmId_L90 ,fT_L90,gmId_L135,fT_L135,gmId_L180,fT_L180,gmId_L225,fT_L225,gmId_L270,fT_L270,gmId_L315,fT_L315,gmId_L360,fT_L360,gmId_L405,fT_L405,gmId_L450 ,fT_L450,gmId_L495,fT_L495,gmId_L540 ,fT_L540,gmId_L585 ,fT_L585,gmId_L630,fT_L630,gmId_L675,fT_L675,gmId_L720 ,fT_L720
29.78,1.84E+05,32.54,9.62E+04,33.08,9.10E+04,33.27,8.90E+04,33.38,8.73E+04,33.45,8.50E+04,33.49,8.22E+04,33.53,7.91E+04,33.55,7.58E+04,33.57,7.24E+04,33.59,6.91E+04,33.64,6.53E+04,33.68,6.18E+04,33.72,5.85E+04,33.75,5.54E+04,33.77,5.26E+04
29.65,3.65E+06,32.39,2.54E+06,32.88,2.53E+06,33.02,2.51E+06,33.08,2.46E+06,33.11,2.39E+06,33.11,2.29E+06,33.11,2.19E+06,33.1,2.08E+06,33.09,1.96E+06,33.08,1.86E+06,33.09,1.75E+06,33.11,1.64E+06,33.12,1.55E+06,33.13,1.46E+06,33.13,1.38E+06
28.87,6.76E+07,31.31,5.96E+07,31.58,5.90E+07,31.52,5.56E+07,31.39,5.15E+07,31.24,4.72E+07,31.08,4.31E+07,30.93,3.92E+07,30.79,3.57E+07,30.66,3.26E+07,30.54,2.98E+07,30.44,2.73E+07,30.36,2.52E+07,30.28,2.32E+07,30.2,2.15E+07,30.12,1.99E+07
26.23,9.64E+08,27.56,8.90E+08,27.22,7.62E+08,26.71,6.27E+08,26.22,5.22E+08,25.79,4.41E+08,25.42,3.78E+08,25.11,3.27E+08,24.84,2.87E+08,24.6,2.53E+08,24.4,2.25E+08,24.21,2.02E+08,24.05,1.82E+08,23.9,1.65E+08,23.76,1.50E+08,23.63,1.38E+08
20.6,7.05E+09,20.8,5.50E+09,20.36,4.13E+09,19.93,3.17E+09,19.52,2.52E+09,19.16,2.06E+09,18.85,1.72E+09,18.57,1.46E+09,18.33,1.25E+09,18.12,1.09E+09,17.93,9.58E+08,17.76,8.47E+08,17.6,7.55E+08,17.45,6.77E+08,17.32,6.10E+08,17.2,5.54E+08
15.87,2.64E+10,15.99,1.95E+10,15.21,1.38E+10,14.51,1.00E+10,13.93,7.59E+09,13.48,5.96E+09,13.11,4.82E+09,12.82,3.98E+09,12.58,3.34E+09,12.38,2.86E+09,12.21,2.47E+09,12.06,2.15E+09,11.92,1.89E+09,11.79,1.67E+09,11.68,1.49E+09,11.58,1.34E+09
12.94,7.46E+10,11.52,4.72E+10,10.35,2.93E+10,9.664,1.97E+10,9.217,1.42E+10,8.907,1.08E+10,8.684,8.56E+09,8.516,6.96E+09,8.387,5.79E+09,8.285,4.90E+09,8.203,4.22E+09,8.117,3.64E+09,8.04,3.18E+09,7.971,2.80E+09,7.909,2.48E+09,7.853,2.22E+09
9.299,1.45E+11,7.522,7.31E+10,6.797,4.21E+10,6.442,2.75E+10,6.232,1.97E+10,6.098,1.49E+10,6.008,1.17E+10,5.947,9.55E+09,5.906,7.96E+09,5.876,6.76E+09,5.854,5.83E+09,5.816,5.03E+09,5.778,4.38E+09,5.745,3.85E+09,5.714,3.41E+09,5.686,3.05E+09
6.117,1.92E+11,5.038,8.76E+10,4.703,4.99E+10,4.558,3.27E+10,4.482,2.35E+10,4.442,1.79E+10,4.423,1.42E+10,4.416,1.16E+10,4.418,9.76E+09,4.424,8.34E+09,4.434,7.23E+09,4.419,6.25E+09,4.402,5.45E+09,4.386,4.79E+09,4.371,4.24E+09,4.357,3.78E+09
4.134,2.09E+11,3.591,9.39E+10,3.45,5.40E+10,3.405,3.58E+10,3.392,2.60E+10,3.396,2.00E+10,3.411,1.60E+10,3.43,1.32E+10,3.453,1.12E+10,3.478,9.62E+09,3.504,8.40E+09,3.5,7.27E+09,3.493,6.35E+09,3.486,5.58E+09,3.478,4.95E+09,3.471,4.41E+09
2.972,2.10E+11,2.699,9.54E+10,2.645,5.56E+10,2.644,3.73E+10,2.66,2.73E+10,2.685,2.12E+10,2.715,1.72E+10,2.747,1.43E+10,2.781,1.22E+10,2.815,1.06E+10,2.849,9.33E+09,2.851,8.09E+09,2.849,7.06E+09,2.846,6.22E+09,2.842,5.51E+09,2.838,4.92E+09
